address,elementary_school_link,elementary_school_name,elementary_school_rating,estimated_monthly_cost,high_school_link,high_school_name,high_school_rating,hoa_fees,home_details_link,listing_provider_name,listing_provider_phone,middle_school_link,middle_school_name,middle_school_rating,number_of_bathrooms,number_of_bedrooms,price,property_taxes_last_year,property_taxes_monthly,sqft,type,zestimate_rent_price,zestimate_sell_price
"House for sale, 395 Holbrook Cir, Chicago Heights, IL 60411, $149,900",https://www.greatschools.org/school?id=02099&state=IL,Serena Hills Elementary School,7,$886,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,9,$0/mo,https://www.zillow.com/homedetails/395-Holbrook-Cir-Chicago-Heights-IL-60411/4321761_zpid/,Trevor Nightengale,(708) 283-0641,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,5,3,4,"$149,900","$11,289",$267/mo,"2,802",House for sale,"$2,395/mo","$145,817"
"House for sale, 201 Craig Dr W, Chicago Heights, IL 60411, $134,900",https://www.greatschools.org/school?id=02099&state=IL,Serena Hills Elementary School,6,$797,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,9,$0/mo,https://www.zillow.com/homedetails/201-Craig-Dr-W-Chicago-Heights-IL-60411/4322419_zpid/,Jennifer Sharknas,(708) 957-0600,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,5,2,4,"$134,900","$6,239",$241/mo,"1,528",House for sale,"$1,550","$133,426"
"House for sale, 441 Wood St, Chicago Heights, IL 60411, $150,000",https://www.greatschools.org/school?id=02099&state=IL,Serena Hills Elementary School,7,$886,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,9,$0/mo,https://www.zillow.com/homedetails/441-Wood-St-Chicago-Heights-IL-60411/4326332_zpid/,Cara Lipinski,(219) 310-1243,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,5,2,3,"$150,000","$4,574",$268/mo,"1,080",House for sale,"$1,600","$149,997"
"House for sale, 241 W Memorial Dr, Chicago Heights, IL 60411, $179,900",https://www.greatschools.org/school?id=01530&state=IL,Roosevelt Elementary School,3,"$1,063",https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/241-W-Memorial-Dr-Chicago-Heights-IL-60411/4325644_zpid/,Timothy O'Neill,(708) 889-1500,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,2,3,"$179,900","$3,801",$321/mo,"1,090",House for sale,"$1,500/mo","$178,780"
"House for sale, 850 Macarthur Dr, Chicago, IL 60411, $148,500",https://www.greatschools.org/school?id=01528&state=IL,Kennedy Elementary School,4,$878,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/850-Macarthur-Dr-Chicago-IL-60411/4327115_zpid/,Jacob Theis,(312) 253-7370,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,3,4,"$148,500","$7,466",$265/mo,"1,692",House for sale,"$1,785/mo","$148,498"
"House for sale, 425 Longwood Dr, Chicago Heights, IL 60411, $174,900",https://www.greatschools.org/school?id=02100&state=IL,Western Avenue Elementary School,7,"$1,034",https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,9,$0/mo,https://www.zillow.com/homedetails/425-Longwood-Dr-Chicago-Heights-IL-60411/4326477_zpid/,Patricia Vallejo,(708) 675-1600,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,5,2,3,"$174,900","$7,398",$312/mo,"1,587",House for sale,"$1,450","$174,900"
"House for sale, 1019 Damico Dr, Chicago Heights, IL 60411, $154,900",https://www.greatschools.org/school?id=01528&state=IL,Kennedy Elementary School,4,$915,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,,$0/mo,https://www.zillow.com/homedetails/1019-Damico-Dr-Chicago-Heights-IL-60411/4327251_zpid/,Alex Fenske,(708) 798-1111,https://www.greatschools.org/school?id=00664&state=IL,Bloom High School,1,3,4,"$154,900","$5,702",$276/mo,"2,492",House for sale,"$1,945","$150,724"
"House for sale, 295 E Joe Orr Rd, Chicago Heights, IL 60411, $110,900",https://www.greatschools.org/school?id=02228&state=IL,Longwood Elementary School,3,$699,https://www.greatschools.org/school?id=02225&state=IL,Brookwood Middle School,1,$0/mo,https://www.zillow.com/homedetails/295-E-Joe-Orr-Rd-Chicago-Heights-IL-60411/4324797_zpid/,Maria Zambrano,(815) 469-7449,https://www.greatschools.org/school?id=02225&state=IL,Brookwood Middle School,2,2,5,"$110,900","$2,374",$198/mo,"1,123",House for sale,"$1,350","$106,548"
"House for sale, 413 Longwood Dr, Chicago Heights, IL 60411, $124,900",https://www.greatschools.org/school?id=02100&state=IL,Western Avenue Elementary School,7,$787,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,9,$0/mo,https://www.zillow.com/homedetails/413-Longwood-Dr-Chicago-Heights-IL-60411/4326475_zpid/,Megan Gineris Reid,(630) 964-1855,https://www.greatschools.org/school?id=02097&state=IL,Parker Junior High School,5,2,3,"$124,900",--,$223/mo,"1,002",House for sale,"$1,650/mo","$122,427"
"House for sale, 314 Lerose Dr, Chicago Heights, IL 60411, $149,900",https://www.greatschools.org/school?id=02228&state=IL,Longwood Elementary School,3,$886,https://www.greatschools.org/school?id=02225&state=IL,Brookwood Middle School,1,$0/mo,https://www.zillow.com/homedetails/314-Lerose-Dr-Chicago-Heights-IL-60411/4322214_zpid/,Susan Rossi,(708) 672-4700,https://www.greatschools.org/school?id=02225&state=IL,Brookwood Middle School,2,2,3,"$149,900","$2,343",$267/mo,"1,535",House for sale,"$1,900/mo","$149,900"
