address,elementary_school_link,elementary_school_name,elementary_school_rating,estimated_monthly_cost,high_school_link,high_school_name,high_school_rating,hoa_fees,home_details_link,listing_provider_name,listing_provider_phone,middle_school_link,middle_school_name,middle_school_rating,number_of_bathrooms,number_of_bedrooms,price,property_taxes_last_year,property_taxes_monthly,sqft,type,zestimate_rent_price,zestimate_sell_price
"House for sale, 7500 E Boulders Pkwy UNIT 28, Scottsdale, AZ 85266, $725,000",,,,,,,,,https://www.zillow.com/homedetails/7500-E-Boulders-Pkwy-UNIT-28-Scottsdale-AZ-85266/8034034_zpid/,,,,,,3,3,"$725,000",,,"2,086",House for sale,,
"For sale by owner, 10055 N 142nd St UNIT 1210, Scottsdale, AZ 85259, $309,500",https://www.greatschools.org/school?id=00883&state=AZ,Laguna Elementary School,8,"$1,661",https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,$225/mo,https://www.zillow.com/homedetails/10055-N-142nd-St-UNIT-1210-Scottsdale-AZ-85259/71611610_zpid/,shawn shams,,https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,8,2,2,"$309,500","$1,262",$175/mo,"1,231",For sale by owner,"$1,619","$294,110"
"House for sale, 27597 N 96th Pl, Scottsdale, AZ 85262, $2,850,000",https://www.greatschools.org/school?id=00598&state=AZ,Desert Sun Academy,6,"$13,512",https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,$334/mo,https://www.zillow.com/homedetails/27597-N-96th-Pl-Scottsdale-AZ-85262/8039296_zpid/,Debbie Negrin,Russ Lyon Sotheby's International Realty,https://www.greatschools.org/school?id=01211&state=AZ,Sonoran Trails Middle School,8,4.5,4,"$2,850,000","$17,238","$1,615/mo","5,907",House for sale,"$8,500","$2,526,494"
"House for sale, 14056 E Desert Cove Ave, Scottsdale, AZ 85259, $665,000",https://www.greatschools.org/school?id=00390&state=AZ,Anasazi Elementary School,9,"$3,112",https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,$37/mo,https://www.zillow.com/homedetails/14056-E-Desert-Cove-Ave-Scottsdale-AZ-85259/8052099_zpid/,Michelle Mojica,(602) 687-0617,https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,8,3.5,4,"$665,000","$4,151",$377/mo,"3,459",House for sale,"$3,500","$639,272"
"House for sale, 11956 E Mercer Ln, Scottsdale, AZ 85259, $679,000",https://www.greatschools.org/school?id=00390&state=AZ,Anasazi Elementary School,10,"$3,273",https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,$133/mo,https://www.zillow.com/homedetails/11956-E-Mercer-Ln-Scottsdale-AZ-85259/8051612_zpid/,Rebekah Liperote,(602) 483-4919,https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,3,4,"$679,000","$4,184",$385/mo,"2,577",House for sale,"$3,200/mo","$657,823"
"House for sale, 8619 E Dianna Dr, Scottsdale, AZ 85257, $349,000",https://www.greatschools.org/school?id=00778&state=AZ,Hohokam Traditional School,8,"$1,620",https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,3,$0/mo,https://www.zillow.com/homedetails/8619-E-Dianna-Dr-Scottsdale-AZ-85257/7582394_zpid/,Doug Royse,(480) 839-6600,https://www.greatschools.org/school?id=00994&state=AZ,Mohave Middle School,8,2,4,"$349,000","$1,178",$198/mo,"1,478",House for sale,"$1,895","$341,432"
"House for sale, 9820 E Thompson Peak Pkwy UNIT 642, Scottsdale, AZ 85255, $3,300,000",https://www.greatschools.org/school?id=02777&state=AZ,Copper Ridge School,9,"$15,535",https://www.greatschools.org/school?id=00524&state=AZ,Chaparral High School,,$276/mo,https://www.zillow.com/homedetails/9820-E-Thompson-Peak-Pkwy-UNIT-642-Scottsdale-AZ-85255/8065401_zpid/,Don Matheson,(480) 792-9500,https://www.greatschools.org/school?id=00524&state=AZ,Chaparral High School,8,6,4,"$3,300,000","$18,629","$1,870/mo","5,434",House for sale,"$8,500","$2,778,913"
"Townhouse for sale, 7272 E Gainey Ranch Rd UNIT 12, Scottsdale, AZ 85258, $549,000",https://www.greatschools.org/school?id=00539&state=AZ,Cochise Elementary School,10,"$2,790",https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,7,$242/mo,https://www.zillow.com/homedetails/7272-E-Gainey-Ranch-Rd-UNIT-12-Scottsdale-AZ-85258/7867683_zpid/,Rich Baxter,(480) 948-9450,https://www.greatschools.org/school?id=00540&state=AZ,Cocopah Middle School,8,2.5,2,"$549,000","$2,632",$311/mo,"1,603",Townhouse for sale,"$3,250","$475,794"
"House for sale, 11460 E Mission Ln, Scottsdale, AZ 85259, $1,149,000",https://www.greatschools.org/school?id=00883&state=AZ,Laguna Elementary School,8,"$5,511",https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,$198/mo,https://www.zillow.com/homedetails/11460-E-Mission-Ln-Scottsdale-AZ-85259/8053544_zpid/,Christy Mooney,(480) 948-9450,https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,4,4,"$1,149,000","$5,407",$651/mo,"4,212",House for sale,"$5,000/mo","$1,028,967"
"House for sale, 12504 E Gold Dust Ave, Scottsdale, AZ 85259, $2,500,000",https://www.greatschools.org/school?id=00883&state=AZ,Laguna Elementary School,8,"$11,560",https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,$0/mo,https://www.zillow.com/homedetails/12504-E-Gold-Dust-Ave-Scottsdale-AZ-85259/67760119_zpid/,Andrew Bloom,(480) 508-7521,https://www.greatschools.org/school?id=01017&state=AZ,Mountainside Middle School,9,7,5,"$2,500,000","$9,631","$1,417/mo","6,818",House for sale,"$8,500/mo","$1,738,234"
